task_id,microservice_id,instructions,bytes,dependencies,storage_req,status,arrival_time,start_time,latency,wait_time,service_time,response_time,spin_up_delay,end_time,deadline,assigned_resource,nearest_resource,resource_IPT,resource_storage
70,208,4632.816327,13.13617009,,5.928697173,completed,6210,6214.2935744288,4.2935744287999995,0,0.09265632653999999,8.679805184139695,0.0,6214.38623075534,6374,CentralCloud(4),Edge_cloud(3),50000,1000000
70,209,1893.954278,643.7963284,,20.43370014,completed,6210,6313.53344960672,103.53344960672001,0,17.217766163636362,224.28466537707573,0.0,6330.751215770356,6374,Edge_cloud(0),Edge_cloud(3),110,64
70,210,607.8199598,305.4505632,"208,209",25.85473541,completed,6210,6330.753425370356,49.12745056255999,71.62597480779613,0.2095930895862069,170.09046902250248,6330.753425370356,6330.963018459943,6374,Edge_cloud(2),Edge_cloud(3),2900,32
70,211,3541.786293,247.9785648,"209,208,210",49.79643448,completed,6210,6330.965552059943,39.88595321984,81.07959884010265,1.2213056182758621,162.07281089805838,6330.965552059943,6332.186857678218,6374,Edge_cloud(1),Edge_cloud(3),2900,64
70,212,1567.342847,318.7800892,"208,210",9.751787557,completed,6210,6330.963018459943,51.270838343360005,69.69218011658276,0.5404630506896552,172.7743198539929,6330.963018459943,6331.503481510633,6374,Edge_cloud(2),Edge_cloud(3),2900,32
71,213,1417.398873,263.4870895,,49.13876459,completed,6360,6444.40586864,84.40586864,3.410605131648481e-13,0.028347977460000003,168.8400852574605,0.0,6444.43421661746,6535,CentralCloud(4),Edge_cloud(1),50000,1000000
71,214,4990.089532,40.48214916,213,19.43133943,completed,6360,6444.71981661746,6.520529584927999,78.19928703253231,45.36445029090909,136.60479649329773,6444.71981661746,6490.0842669083695,6535,Edge_cloud(0),Edge_cloud(1),110,64
71,215,4304.880733,971.817712,"214,213",10.81570382,completed,6360,6516.2792880896,156.2792880896,4.263256414560601e-13,1.4844416320689655,314.04301781127015,6490.08646530837,6517.76372972167,6535,Edge_cloud(2),Edge_cloud(1),2900,32
71,216,2098.89531,228.5380336,"214,213,215",21.29134502,completed,6360,6518.10628972167,73.22217075200001,84.88411896966977,0.0419779062,231.3704383798704,6518.10628972167,6518.14826762787,6535,CentralCloud(4),Edge_cloud(1),50000,1000000
72,217,4903.279918,736.689465,,31.08576108,completed,6480,6598.4706659720005,118.47066597200002,4.405364961712621e-13,1.3252107886486486,238.2665427326492,0.0,6599.795876760649,6626,Edge_cloud(3),Edge_cloud(0),3700,64
72,218,3285.554795,764.9704307,217,11.4613723,completed,6480,6603.01824525656,123.01824525656,0,1.1329499293103449,247.16944044242973,6599.798290360649,6604.15119518587,6626,Edge_cloud(2),Edge_cloud(0),2900,32
73,219,3735.910014,929.964824,,15.28051508,rejected,6540,,0,0,0,0,0,,6656,,Edge_cloud(2),,
74,220,254.4139111,40.24396252,,42.87277859,completed,6570,6582.9680680064,12.9680680064,2.4513724383723456e-13,0.005088278222,25.94122429102208,0.0,6582.973156284622,6717,CentralCloud(4),Edge_cloud(2),50000,1000000
74,221,695.8657708,873.3278551,220,49.95146362,completed,6570,6710.44211910008,140.44211910008,1.7053025658242404e-13,6.326052461818182,287.21029066197843,6583.253956284622,6716.768171561898,6717,Edge_cloud(0),Edge_cloud(2),110,64
74,222,3202.11712,531.953919,"221,220",16.59046188,rejected,6570,,0,0,0,0,6710.682072814149,,6717,,Edge_cloud(2),,
75,223,4505.217515,636.2186689,,8.293983394,completed,6660,6762.31496195912,102.31496195912001,3.979039320256561e-13,1.5535232810344828,206.18344719927518,0.0,6763.868485240155,6847,Edge_cloud(2),Edge_cloud(2),2900,32
75,224,3156.344258,648.0255743,,39.86537018,completed,6660,6764.21351234744,104.21351234744,0,0.8530660156756757,209.28009071055567,0.0,6765.066578363116,6847,Edge_cloud(3),Edge_cloud(2),3700,64
75,225,756.7219822,821.5998269,"224,223",30.42232868,completed,6660,6792.12425216552,132.12425216551998,3.979039320256561e-13,0.20451945464864862,264.45302378568977,6765.066578363116,6792.328771620169,6847,Edge_cloud(3),Edge_cloud(2),3700,64
75,226,667.2242266,340.0732489,"225,224,223",5.919656025,completed,6660,6792.328771620169,54.69477842312,77.63399319704939,0.18033087205405404,187.20388091534278,6792.328771620169,6792.509102492223,6847,Edge_cloud(3),Edge_cloud(2),3700,64
76,227,4236.51089,735.720678,,47.39180259,completed,6780,6898.3148850224,118.3148850224,0,38.51373536363636,275.1435054084359,0.0,6936.828620386036,6939,Edge_cloud(0),Edge_cloud(2),110,64
76,228,782.5814597,533.2923286,227,4.824426892,completed,6780,6936.831036386036,85.76440643888,71.06662994715643,0.2698556757586207,242.86529850067473,6936.831036386036,6937.100892061795,6939,Edge_cloud(2),Edge_cloud(2),2900,32
76,229,2649.136606,795.4600742,"227,228",31.64246368,completed,6780,6937.100892061795,127.92097993136001,29.179912130435085,0.9134953813793103,285.9353673745345,6937.100892061795,6938.014387443174,6939,Edge_cloud(2),Edge_cloud(2),2900,32
